2025-02-01 14:57:20,292 - INFO - Pod: workload-1738421839, Node: normal-worker, Intensity: 331.38, Region: ERCOT, Type: Actual
2025-02-01 14:57:30,211 - INFO - Pod: workload-1738421850, Node: normal-control-plane, Intensity: 257.0, Region: DE, Type: Planned
2025-02-01 14:57:30,726 - INFO - Pod: workload-1738421850, Node: normal-control-plane, Intensity: 257.0, Region: DE, Type: Actual
2025-02-01 14:57:40,604 - INFO - Pod: workload-1738421860, Node: normal-control-plane, Intensity: 257.0, Region: DE, Type: Planned
2025-02-01 14:57:40,982 - INFO - Pod: workload-1738421860, Node: normal-control-plane, Intensity: 257.0, Region: DE, Type: Actual
2025-02-01 14:57:51,010 - INFO - Pod: workload-1738421870, Node: normal-worker, Intensity: 331.38, Region: ERCOT, Type: Planned
2025-02-01 14:57:51,383 - INFO - Pod: workload-1738421870, Node: normal-worker, Intensity: 331.38, Region: ERCOT, Type: Actual
2025-02-01 14:58:01,472 - INFO - Pod: workload-1738421881, Node: normal-control-plane, Intensity: 242.95, Region: DE, Type: Planned
2025-02-01 14:58:02,046 - INFO - Pod: workload-1738421881, Node: normal-control-plane, Intensity: 242.95, Region: DE, Type: Actual
2025-02-01 14:58:11,875 - INFO - Pod: workload-1738421891, Node: normal-worker2, Intensity: 119.26, Region: NL, Type: Planned
2025-02-01 14:58:12,375 - INFO - Pod: workload-1738421891, Node: normal-worker2, Intensity: 119.26, Region: NL, Type: Actual
2025-02-01 14:58:22,316 - INFO - Pod: workload-1738421902, Node: normal-worker, Intensity: 353.41, Region: ERCOT, Type: Planned
2025-02-01 14:58:22,627 - INFO - Pod: workload-1738421902, Node: normal-worker, Intensity: 353.41, Region: ERCOT, Type: Actual
2025-02-01 14:58:32,751 - INFO - Pod: workload-1738421912, Node: normal-control-plane, Intensity: 242.95, Region: DE, Type: Planned
2025-02-01 14:58:33,264 - INFO - Pod: workload-1738421912, Node: normal-control-plane, Intensity: 242.95, Region: DE, Type: Actual
2025-02-01 14:58:43,180 - INFO - Pod: workload-1738421923, Node: normal-worker, Intensity: 353.41, Region: ERCOT, Type: Planned
2025-02-01 14:58:43,529 - INFO - Pod: workload-1738421923, Node: normal-worker, Intensity: 353.41, Region: ERCOT, Type: Actual
2025-02-01 14:58:54,128 - INFO - Pod: workload-1738421934, Node: normal-worker2, Intensity: 119.26, Region: NL, Type: Planned
2025-02-01 14:58:54,473 - INFO - Pod: workload-1738421934, Node: normal-worker2, Intensity: 119.26, Region: NL, Type: Actual
2025-02-01 14:59:04,603 - INFO - Pod: workload-1738421944, Node: normal-worker, Intensity: 391.0, Region: ERCOT, Type: Planned
2025-02-01 14:59:05,155 - INFO - Pod: workload-1738421944, Node: normal-worker, Intensity: 391.0, Region: ERCOT, Type: Actual
2025-02-01 14:59:15,015 - INFO - Pod: workload-1738421954, Node: normal-worker2, Intensity: 109.41, Region: NL, Type: Planned
2025-02-01 14:59:15,384 - INFO - Pod: workload-1738421954, Node: normal-worker2, Intensity: 109.41, Region: NL, Type: Actual
2025-02-01 14:59:25,465 - INFO - Pod: workload-1738421965, Node: normal-worker2, Intensity: 109.41, Region: NL, Type: Planned
2025-02-01 14:59:26,027 - INFO - Pod: workload-1738421965, Node: normal-worker2, Intensity: 109.41, Region: NL, Type: Actual
2025-02-01 14:59:35,707 - INFO - Pod: workload-1738421975, Node: normal-worker, Intensity: 391.0, Region: ERCOT, Type: Planned
2025-02-01 14:59:36,212 - INFO - Pod: workload-1738421975, Node: normal-worker, Intensity: 391.0, Region: ERCOT, Type: Actual
2025-02-01 14:59:45,927 - INFO - Pod: workload-1738421985, Node: normal-worker2, Intensity: 109.41, Region: NL, Type: Planned
2025-02-01 14:59:46,221 - INFO - Pod: workload-1738421985, Node: normal-worker2, Intensity: 109.41, Region: NL, Type: Actual
2025-02-01 14:59:56,161 - INFO - Pod: workload-1738421996, Node: normal-control-plane, Intensity: 238.11, Region: DE, Type: Planned
2025-02-01 14:59:56,471 - INFO - Pod: workload-1738421996, Node: normal-control-plane, Intensity: 238.11, Region: DE, Type: Actual
2025-02-01 15:00:06,587 - INFO - Pod: workload-1738422006, Node: normal-control-plane, Intensity: 236.64, Region: DE, Type: Planned
2025-02-01 15:00:06,908 - INFO - Pod: workload-1738422006, Node: normal-control-plane, Intensity: 236.64, Region: DE, Type: Actual
2025-02-01 15:00:17,042 - INFO - Pod: workload-1738422016, Node: normal-worker, Intensity: 415.66, Region: ERCOT, Type: Planned
2025-02-01 15:00:17,562 - INFO - Pod: workload-1738422016, Node: normal-worker, Intensity: 415.66, Region: ERCOT, Type: Actual
2025-02-01 15:00:27,494 - INFO - Pod: workload-1738422027, Node: normal-worker2, Intensity: 107.35, Region: NL, Type: Planned
2025-02-01 15:00:27,845 - INFO - Pod: workload-1738422027, Node: normal-worker2, Intensity: 107.35, Region: NL, Type: Actual
2025-02-01 15:00:37,776 - INFO - Pod: workload-1738422037, Node: normal-control-plane, Intensity: 236.64, Region: DE, Type: Planned
2025-02-01 15:00:38,149 - INFO - Pod: workload-1738422037, Node: normal-control-plane, Intensity: 236.64, Region: DE, Type: Actual
2025-02-01 15:00:48,266 - INFO - Pod: workload-1738422048, Node: normal-worker, Intensity: 415.66, Region: ERCOT, Type: Planned
2025-02-01 15:00:48,799 - INFO - Pod: workload-1738422048, Node: normal-worker, Intensity: 415.66, Region: ERCOT, Type: Actual
2025-02-01 15:00:58,785 - INFO - Pod: workload-1738422058, Node: normal-control-plane, Intensity: 236.64, Region: DE, Type: Planned
2025-02-01 15:00:59,145 - INFO - Pod: workload-1738422058, Node: normal-control-plane, Intensity: 236.64, Region: DE, Type: Actual
2025-02-01 15:01:09,085 - INFO - Pod: workload-1738422069, Node: normal-worker2, Intensity: 110.36, Region: NL, Type: Planned
2025-02-01 15:01:09,602 - INFO - Pod: workload-1738422069, Node: normal-worker2, Intensity: 110.36, Region: NL, Type: Actual
2025-02-01 15:01:19,577 - INFO - Pod: workload-1738422079, Node: normal-worker, Intensity: 413.79, Region: ERCOT, Type: Planned
